zaklad;prisada_1;prisada_2;velikost;produkt;cena;zaklad_g;prisada_1g;prisada_2g;resultTitle;resultDesc
cerny;ananas;kustovnice;200g;;;160;20;20;Černý čaj - Ceylon<br>BOP1 Blend;Ananas<br>Kustovnice
cerny;ananas;malina;50g;;;40;5;5;Černý čaj - Ceylon<br>BOP1 Blend;Ananas<br>Malina
cerny;ananas;malina;100g;;;80;10;10;Černý čaj - Ceylon<br>BOP1 Blend;Ananas<br>Malina
cerny;ananas;malina;200g;;;160;20;20;Černý čaj - Ceylon<br>BOP1 Blend;Ananas<br>Malina
cerny;ananas;mango;50g;;;40;5;5;Černý čaj - Ceylon<br>BOP1 Blend;Ananas<br>Mango
cerny;ananas;mango;100g;;;80;10;10;Černý čaj - Ceylon<br>BOP1 Blend;Ananas<br>Mango
cerny;ananas;mango;200g;;;160;20;20;Černý čaj - Ceylon<br>BOP1 Blend;Ananas<br>Mango
cerny;ananas;ostruzina;50g;;;40;5;5;Černý čaj - Ceylon<br>BOP1 Blend;Ananas<br>Ostružina
cerny;ananas;ostruzina;100g;;;80;10;10;Černý čaj - Ceylon<br>BOP1 Blend;Ananas<br>Ostružina
cerny;ananas;ostruzina;200g;;;160;20;20;Černý čaj - Ceylon<br>BOP1 Blend;Ananas<br>Ostružina
cerny;ananas;rakytnik;50g;;;40;5;5;Černý čaj - Ceylon<br>BOP1 Blend;Ananas<br>Rakytník
cerny;ananas;rakytnik;100g;;;80;10;10;Černý čaj - Ceylon<br>BOP1 Blend;Ananas<br>Rakytník
cerny;ananas;rakytnik;200g;;;160;20;20;Černý čaj - Ceylon<br>BOP1 Blend;Ananas<br>Rakytník
cerny;ananas;visen;50g;;;40;5;5;Černý čaj - Ceylon<br>BOP1 Blend;Ananas<br>Višeň
cerny;ananas;visen;100g;;;80;10;10;Černý čaj - Ceylon<br>BOP1 Blend;Ananas<br>Višeň
cerny;ananas;visen;200g;;;160;20;20;Černý čaj - Ceylon<br>BOP1 Blend;Ananas<br>Višeň
cerny;banan;undefined;50g;;;40;10;0;Černý čaj - Ceylon<br>BOP1 Blend;Banán
cerny;banan;undefined;100g;;;80;20;0;Černý čaj - Ceylon<br>BOP1 Blend;Banán
cerny;banan;undefined;200g;;;160;40;0;Černý čaj - Ceylon<br>BOP1 Blend;Banán
cerny;banan;ananas;50g;;;40;5;5;Černý čaj - Ceylon<br>BOP1 Blend;Banán<br>Ananas
cerny;banan;ananas;100g;;;80;10;10;Černý čaj - Ceylon<br>BOP1 Blend;Banán<br>Ananas
cerny;banan;ananas;200g;;;160;20;20;Černý čaj - Ceylon<br>BOP1 Blend;Banán<br>Ananas
cerny;banan;banan;50g;;;40;5;5;Černý čaj - Ceylon<br>BOP1 Blend;Banán
cerny;banan;banan;100g;;;80;10;10;Černý čaj - Ceylon<br>BOP1 Blend;Banán
cerny;banan;banan;200g;;;160;20;20;Černý čaj - Ceylon<br>BOP1 Blend;Banán
cerny;banan;boruvka;50g;;;40;5;5;Černý čaj - Ceylon<br>BOP1 Blend;Banán<br>Borůvka
cerny;banan;boruvka;100g;;;80;10;10;Černý čaj - Ceylon<br>BOP1 Blend;Banán<br>Borůvka
cerny;banan;boruvka;200g;;;160;20;20;Černý čaj - Ceylon<br>BOP1 Blend;Banán<br>Borůvka
cerny;banan;brusinka;50g;;;40;5;5;Černý čaj - Ceylon<br>BOP1 Blend;Banán<br>Brusinka
cerny;banan;brusinka;100g;;;80;10;10;Černý čaj - Ceylon<br>BOP1 Blend;Banán<br>Brusinka
cerny;banan;brusinka;200g;;;160;20;20;Černý čaj - Ceylon<br>BOP1 Blend;Banán<br>Brusinka
cerny;banan;cerny_rybiz;50g;;;40;5;5;Černý čaj - Ceylon<br>BOP1 Blend;Banán<br>Černý rybíz
cerny;banan;cerny_rybiz;100g;;;80;10;10;Černý čaj - Ceylon<br>BOP1 Blend;Banán<br>Černý rybíz
cerny;banan;cerny_rybiz;200g;;;160;20;20;Černý čaj - Ceylon<br>BOP1 Blend;Banán<br>Černý rybíz
cerny;banan;hruska;50g;;;40;5;5;Černý čaj - Ceylon<br>BOP1 Blend;Banán<br>Hruška
cerny;banan;hruska;100g;;;80;10;10;Černý čaj - Ceylon<br>BOP1 Blend;Banán<br>Hruška
cerny;banan;hruska;200g;;;160;20;20;Černý čaj - Ceylon<br>BOP1 Blend;Banán<br>Hruška
cerny;banan;jablko;50g;;;40;5;5;Černý čaj - Ceylon<br>BOP1 Blend;Banán<br>Jablko
cerny;banan;jablko;100g;;;80;10;10;Černý čaj - Ceylon<br>BOP1 Blend;Banán<br>Jablko
cerny;banan;jablko;200g;;;160;20;20;Černý čaj - Ceylon<br>BOP1 Blend;Banán<br>Jablko
cerny;banan;jahoda;50g;;;40;5;5;Černý čaj - Ceylon<br>BOP1 Blend;Banán<br>Jahoda
cerny;banan;jahoda;100g;;;80;10;10;Černý čaj - Ceylon<br>BOP1 Blend;Banán<br>Jahoda
cerny;banan;jahoda;200g;;;160;20;20;Černý čaj - Ceylon<br>BOP1 Blend;Banán<br>Jahoda
cerny;banan;kustovnice;50g;;;40;5;5;Černý čaj - Ceylon<br>BOP1 Blend;Banán<br>Kustovnice
cerny;banan;kustovnice;100g;;;80;10;10;Černý čaj - Ceylon<br>BOP1 Blend;Banán<br>Kustovnice
cerny;banan;kustovnice;200g;;;160;20;20;Černý čaj - Ceylon<br>BOP1 Blend;Banán<br>Kustovnice
cerny;banan;malina;50g;;;40;5;5;Černý čaj - Ceylon<br>BOP1 Blend;Banán<br>Malina
cerny;banan;malina;100g;;;80;10;10;Černý čaj - Ceylon<br>BOP1 Blend;Banán<br>Malina
cerny;banan;malina;200g;;;160;20;20;Černý čaj - Ceylon<br>BOP1 Blend;Banán<br>Malina
cerny;banan;mango;50g;;;40;5;5;Černý čaj - Ceylon<br>BOP1 Blend;Banán<br>Mango
cerny;banan;mango;100g;;;80;10;10;Černý čaj - Ceylon<br>BOP1 Blend;Banán<br>Mango
cerny;banan;mango;200g;;;160;20;20;Černý čaj - Ceylon<br>BOP1 Blend;Banán<br>Mango
cerny;banan;ostruzina;50g;;;40;5;5;Černý čaj - Ceylon<br>BOP1 Blend;Banán<br>Ostružina
cerny;banan;ostruzina;100g;;;80;10;10;Černý čaj - Ceylon<br>BOP1 Blend;Banán<br>Ostružina
cerny;banan;ostruzina;200g;;;160;20;20;Černý čaj - Ceylon<br>BOP1 Blend;Banán<br>Ostružina
cerny;banan;rakytnik;50g;;;40;5;5;Černý čaj - Ceylon<br>BOP1 Blend;Banán<br>Rakytník
cerny;banan;rakytnik;100g;;;80;10;10;Černý čaj - Ceylon<br>BOP1 Blend;Banán<br>Rakytník
cerny;banan;rakytnik;200g;;;160;20;20;Černý čaj - Ceylon<br>BOP1 Blend;Banán<br>Rakytník
cerny;banan;visen;50g;;;40;5;5;Černý čaj - Ceylon<br>BOP1 Blend;Banán<br>Višeň
cerny;banan;visen;100g;;;80;10;10;Černý čaj - Ceylon<br>BOP1 Blend;Banán<br>Višeň
cerny;banan;visen;200g;;;160;20;20;Černý čaj - Ceylon<br>BOP1 Blend;Banán<br>Višeň
cerny;boruvka;undefined;50g;;;40;10;0;Černý čaj - Ceylon<br>BOP1 Blend;Borůvka
cerny;boruvka;undefined;100g;;;80;20;0;Černý čaj - Ceylon<br>BOP1 Blend;Borůvka
cerny;boruvka;undefined;200g;;;160;40;0;Černý čaj - Ceylon<br>BOP1 Blend;Borůvka
cerny;boruvka;ananas;50g;;;40;5;5;Černý čaj - Ceylon<br>BOP1 Blend;Borůvka<br>Ananas
cerny;boruvka;ananas;100g;;;80;10;10;Černý čaj - Ceylon<br>BOP1 Blend;Borůvka<br>Ananas
cerny;boruvka;ananas;200g;;;160;20;20;Černý čaj - Ceylon<br>BOP1 Blend;Borůvka<br>Ananas
cerny;boruvka;banan;50g;;;40;5;5;Černý čaj - Ceylon<br>BOP1 Blend;Borůvka<br>Banán
cerny;boruvka;banan;100g;;;80;10;10;Černý čaj - Ceylon<br>BOP1 Blend;Borůvka<br>Banán
cerny;boruvka;banan;200g;;;160;20;20;Černý čaj - Ceylon<br>BOP1 Blend;Borůvka<br>Banán
cerny;boruvka;boruvka;50g;;;40;5;5;Černý čaj - Ceylon<br>BOP1 Blend;Borůvka
cerny;boruvka;boruvka;100g;;;80;10;10;Černý čaj - Ceylon<br>BOP1 Blend;Borůvka
cerny;boruvka;boruvka;200g;;;160;20;20;Černý čaj - Ceylon<br>BOP1 Blend;Borůvka
cerny;boruvka;brusinka;50g;;;40;5;5;Černý čaj - Ceylon<br>BOP1 Blend;Borůvka<br>Brusinka
cerny;boruvka;brusinka;100g;;;80;10;10;Černý čaj - Ceylon<br>BOP1 Blend;Borůvka<br>Brusinka
cerny;boruvka;brusinka;200g;;;160;20;20;Černý čaj - Ceylon<br>BOP1 Blend;Borůvka<br>Brusinka
cerny;boruvka;cerny_rybiz;50g;;;40;5;5;Černý čaj - Ceylon<br>BOP1 Blend;Borůvka<br>Černý rybíz
cerny;boruvka;cerny_rybiz;100g;;;80;10;10;Černý čaj - Ceylon<br>BOP1 Blend;Borůvka<br>Černý rybíz
cerny;boruvka;cerny_rybiz;200g;;;160;20;20;Černý čaj - Ceylon<br>BOP1 Blend;Borůvka<br>Černý rybíz
cerny;boruvka;hruska;50g;;;40;5;5;Černý čaj - Ceylon<br>BOP1 Blend;Borůvka<br>Hruška
cerny;boruvka;hruska;100g;;;80;10;10;Černý čaj - Ceylon<br>BOP1 Blend;Borůvka<br>Hruška
cerny;boruvka;hruska;200g;;;160;20;20;Černý čaj - Ceylon<br>BOP1 Blend;Borůvka<br>Hruška
cerny;boruvka;jablko;50g;;;40;5;5;Černý čaj - Ceylon<br>BOP1 Blend;Borůvka<br>Jablko
cerny;boruvka;jablko;100g;;;80;10;10;Černý čaj - Ceylon<br>BOP1 Blend;Borůvka<br>Jablko
cerny;boruvka;jablko;200g;;;160;20;20;Černý čaj - Ceylon<br>BOP1 Blend;Borůvka<br>Jablko
cerny;boruvka;jahoda;50g;;;40;5;5;Černý čaj - Ceylon<br>BOP1 Blend;Borůvka<br>Jahoda
cerny;boruvka;jahoda;100g;;;80;10;10;Černý čaj - Ceylon<br>BOP1 Blend;Borůvka<br>Jahoda
cerny;boruvka;jahoda;200g;;;160;20;20;Černý čaj - Ceylon<br>BOP1 Blend;Borůvka<br>Jahoda
cerny;boruvka;kustovnice;50g;;;40;5;5;Černý čaj - Ceylon<br>BOP1 Blend;Borůvka<br>Kustovnice
cerny;boruvka;kustovnice;100g;;;80;10;10;Černý čaj - Ceylon<br>BOP1 Blend;Borůvka<br>Kustovnice
cerny;boruvka;kustovnice;200g;;;160;20;20;Černý čaj - Ceylon<br>BOP1 Blend;Borůvka<br>Kustovnice
cerny;boruvka;malina;50g;;;40;5;5;Černý čaj - Ceylon<br>BOP1 Blend;Borůvka<br>Malina
cerny;boruvka;malina;100g;;;80;10;10;Černý čaj - Ceylon<br>BOP1 Blend;Borůvka<br>Malina
cerny;boruvka;malina;200g;;;160;20;20;Černý čaj - Ceylon<br>BOP1 Blend;Borůvka<br>Malina
cerny;boruvka;mango;50g;;;40;5;5;Černý čaj - Ceylon<br>BOP1 Blend;Borůvka<br>Mango
cerny;boruvka;mango;100g;;;80;10;10;Černý čaj - Ceylon<br>BOP1 Blend;Borůvka<br>Mango
cerny;boruvka;mango;200g;;;160;20;20;Černý čaj - Ceylon<br>BOP1 Blend;Borůvka<br>Mango
cerny;boruvka;ostruzina;50g;;;40;5;5;Černý čaj - Ceylon<br>BOP1 Blend;Borůvka<br>Ostružina
cerny;boruvka;ostruzina;100g;;;80;10;10;Černý čaj - Ceylon<br>BOP1 Blend;Borůvka<br>Ostružina
cerny;boruvka;ostruzina;200g;;;160;20;20;Černý čaj - Ceylon<br>BOP1 Blend;Borůvka<br>Ostružina
cerny;boruvka;rakytnik;50g;;;40;5;5;Černý čaj - Ceylon<br>BOP1 Blend;Borůvka<br>Rakytník
cerny;boruvka;rakytnik;100g;;;80;10;10;Černý čaj - Ceylon<br>BOP1 Blend;Borůvka<br>Rakytník
cerny;boruvka;rakytnik;200g;;;160;20;20;Černý čaj - Ceylon<br>BOP1 Blend;Borůvka<br>Rakytník
cerny;boruvka;visen;50g;;;40;5;5;Černý čaj - Ceylon<br>BOP1 Blend;Borůvka<br>Višeň
cerny;boruvka;visen;100g;;;80;10;10;Černý čaj - Ceylon<br>BOP1 Blend;Borůvka<br>Višeň
cerny;boruvka;visen;200g;;;160;20;20;Černý čaj - Ceylon<br>BOP1 Blend;Borůvka<br>Višeň
cerny;brusinka;undefined;50g;;;40;10;0;Černý čaj - Ceylon<br>BOP1 Blend;Brusinka
cerny;brusinka;undefined;100g;;;80;20;0;Černý čaj - Ceylon<br>BOP1 Blend;Brusinka
cerny;brusinka;undefined;200g;;;160;40;0;Černý čaj - Ceylon<br>BOP1 Blend;Brusinka
cerny;brusinka;ananas;50g;;;40;5;5;Černý čaj - Ceylon<br>BOP1 Blend;Brusinka<br>Ananas
cerny;brusinka;ananas;100g;;;80;10;10;Černý čaj - Ceylon<br>BOP1 Blend;Brusinka<br>Ananas
cerny;brusinka;ananas;200g;;;160;20;20;Černý čaj - Ceylon<br>BOP1 Blend;Brusinka<br>Ananas
cerny;brusinka;banan;50g;;;40;5;5;Černý čaj - Ceylon<br>BOP1 Blend;Brusinka<br>Banán
cerny;brusinka;banan;100g;;;80;10;10;Černý čaj - Ceylon<br>BOP1 Blend;Brusinka<br>Banán
cerny;brusinka;banan;200g;;;160;20;20;Černý čaj - Ceylon<br>BOP1 Blend;Brusinka<br>Banán
cerny;brusinka;boruvka;50g;;;40;5;5;Černý čaj - Ceylon<br>BOP1 Blend;Brusinka<br>Borůvka
cerny;brusinka;boruvka;100g;;;80;10;10;Černý čaj - Ceylon<br>BOP1 Blend;Brusinka<br>Borůvka
cerny;brusinka;boruvka;200g;;;160;20;20;Černý čaj - Ceylon<br>BOP1 Blend;Brusinka<br>Borůvka
cerny;brusinka;brusinka;50g;;;40;5;5;Černý čaj - Ceylon<br>BOP1 Blend;Brusinka
cerny;brusinka;brusinka;100g;;;80;10;10;Černý čaj - Ceylon<br>BOP1 Blend;Brusinka
cerny;brusinka;brusinka;200g;;;160;20;20;Černý čaj - Ceylon<br>BOP1 Blend;Brusinka
cerny;brusinka;cerny_rybiz;50g;;;40;5;5;Černý čaj - Ceylon<br>BOP1 Blend;Brusinka<br>Černý rybíz
cerny;brusinka;cerny_rybiz;100g;;;80;10;10;Černý čaj - Ceylon<br>BOP1 Blend;Brusinka<br>Černý rybíz
cerny;brusinka;cerny_rybiz;200g;;;160;20;20;Černý čaj - Ceylon<br>BOP1 Blend;Brusinka<br>Černý rybíz
cerny;brusinka;hruska;50g;;;40;5;5;Černý čaj - Ceylon<br>BOP1 Blend;Brusinka<br>Hruška
cerny;brusinka;hruska;100g;;;80;10;10;Černý čaj - Ceylon<br>BOP1 Blend;Brusinka<br>Hruška
cerny;brusinka;hruska;200g;;;160;20;20;Černý čaj - Ceylon<br>BOP1 Blend;Brusinka<br>Hruška
cerny;brusinka;jablko;50g;;;40;5;5;Černý čaj - Ceylon<br>BOP1 Blend;Brusinka<br>Jablko
cerny;brusinka;jablko;100g;;;80;10;10;Černý čaj - Ceylon<br>BOP1 Blend;Brusinka<br>Jablko
cerny;brusinka;jablko;200g;;;160;20;20;Černý čaj - Ceylon<br>BOP1 Blend;Brusinka<br>Jablko
cerny;brusinka;jahoda;50g;;;40;5;5;Černý čaj - Ceylon<br>BOP1 Blend;Brusinka<br>Jahoda
cerny;brusinka;jahoda;100g;;;80;10;10;Černý čaj - Ceylon<br>BOP1 Blend;Brusinka<br>Jahoda
cerny;brusinka;jahoda;200g;;;160;20;20;Černý čaj - Ceylon<br>BOP1 Blend;Brusinka<br>Jahoda
cerny;brusinka;kustovnice;50g;;;40;5;5;Černý čaj - Ceylon<br>BOP1 Blend;Brusinka<br>Kustovnice
cerny;brusinka;kustovnice;100g;;;80;10;10;Černý čaj - Ceylon<br>BOP1 Blend;Brusinka<br>Kustovnice
cerny;brusinka;kustovnice;200g;;;160;20;20;Černý čaj - Ceylon<br>BOP1 Blend;Brusinka<br>Kustovnice
cerny;brusinka;malina;50g;;;40;5;5;Černý čaj - Ceylon<br>BOP1 Blend;Brusinka<br>Malina
cerny;brusinka;malina;100g;;;80;10;10;Černý čaj - Ceylon<br>BOP1 Blend;Brusinka<br>Malina
cerny;brusinka;malina;200g;;;160;20;20;Černý čaj - Ceylon<br>BOP1 Blend;Brusinka<br>Malina
cerny;brusinka;mango;50g;;;40;5;5;Černý čaj - Ceylon<br>BOP1 Blend;Brusinka<br>Mango
cerny;brusinka;mango;100g;;;80;10;10;Černý čaj - Ceylon<br>BOP1 Blend;Brusinka<br>Mango
cerny;brusinka;mango;200g;;;160;20;20;Černý čaj - Ceylon<br>BOP1 Blend;Brusinka<br>Mango
cerny;brusinka;ostruzina;50g;;;40;5;5;Černý čaj - Ceylon<br>BOP1 Blend;Brusinka<br>Ostružina
cerny;brusinka;ostruzina;100g;;;80;10;10;Černý čaj - Ceylon<br>BOP1 Blend;Brusinka<br>Ostružina
cerny;brusinka;ostruzina;200g;;;160;20;20;Černý čaj - Ceylon<br>BOP1 Blend;Brusinka<br>Ostružina
cerny;brusinka;rakytnik;50g;;;40;5;5;Černý čaj - Ceylon<br>BOP1 Blend;Brusinka<br>Rakytník
cerny;brusinka;rakytnik;100g;;;80;10;10;Černý čaj - Ceylon<br>BOP1 Blend;Brusinka<br>Rakytník
cerny;brusinka;rakytnik;200g;;;160;20;20;Černý čaj - Ceylon<br>BOP1 Blend;Brusinka<br>Rakytník
cerny;brusinka;visen;50g;;;40;5;5;Černý čaj - Ceylon<br>BOP1 Blend;Brusinka<br>Višeň
cerny;brusinka;visen;100g;;;80;10;10;Černý čaj - Ceylon<br>BOP1 Blend;Brusinka<br>Višeň
cerny;brusinka;visen;200g;;;160;20;20;Černý čaj - Ceylon<br>BOP1 Blend;Brusinka<br>Višeň
cerny;cerny_rybiz;undefined;50g;;;40;10;0;Černý čaj - Ceylon<br>BOP1 Blend;Černý rybíz
cerny;cerny_rybiz;undefined;100g;;;80;20;0;Černý čaj - Ceylon<br>BOP1 Blend;Černý rybíz
cerny;cerny_rybiz;undefined;200g;;;160;40;0;Černý čaj - Ceylon<br>BOP1 Blend;Černý rybíz
cerny;cerny_rybiz;ananas;50g;;;40;5;5;Černý čaj - Ceylon<br>BOP1 Blend;Černý rybíz<br>Ananas
cerny;cerny_rybiz;ananas;100g;;;80;10;10;Černý čaj - Ceylon<br>BOP1 Blend;Černý rybíz<br>Ananas
cerny;cerny_rybiz;ananas;200g;;;160;20;20;Černý čaj - Ceylon<br>BOP1 Blend;Černý rybíz<br>Ananas
cerny;cerny_rybiz;banan;50g;;;40;5;5;Černý čaj - Ceylon<br>BOP1 Blend;Černý rybíz<br>Banán
cerny;cerny_rybiz;banan;100g;;;80;10;10;Černý čaj - Ceylon<br>BOP1 Blend;Černý rybíz<br>Banán
cerny;cerny_rybiz;banan;200g;;;160;20;20;Černý čaj - Ceylon<br>BOP1 Blend;Černý rybíz<br>Banán
cerny;cerny_rybiz;boruvka;50g;;;40;5;5;Černý čaj - Ceylon<br>BOP1 Blend;Černý rybíz<br>Borůvka
cerny;cerny_rybiz;boruvka;100g;;;80;10;10;Černý čaj - Ceylon<br>BOP1 Blend;Černý rybíz<br>Borůvka
